sku,name,style,unit,cost,price
FFA001,ming貼紙,,個,0.0,180.0
FFA034,保冷袋,,個,0.0,680.0
FFA002,先浪狗,貼紙,個,0.0,100.0
FFA003,先浪狗,防水購物袋,個,0.0,300.0
FFA028,刺繡別針,白狗,個,0.0,100.0
FFA027,刺繡別針,虎斑貓,個,0.0,100.0
FFA037,刺繡布章,兩隻狗,個,0.0,180.0
FFA036,刺繡布章,小狗超人,個,0.0,180.0
FFA022,刺繡短Tee,L,個,0.0,500.0
FFA021,刺繡短Tee,M,個,0.0,500.0
FFA020,刺繡短Tee,S,個,0.0,500.0
FFA023,刺繡短Tee,XL,個,0.0,500.0
FFA014,刺繡襪,橘,個,0.0,150.0
FFA017,刺繡襪,深綠,個,0.0,150.0
FFA019,刺繡襪,米白,個,0.0,150.0
FFA018,刺繡襪,藍灰,個,0.0,150.0
FFA016,刺繡襪,螢光綠,個,0.0,150.0
FFA015,刺繡襪,黑,個,0.0,150.0
FFA009,刺繡領巾,女M,個,0.0,350.0
FFA008,刺繡領巾,女S,個,0.0,280.0
FFA007,刺繡領巾,男M,個,0.0,350.0
FFA006,刺繡領巾,男S,個,0.0,280.0
FFA026,小木雕,發黃狗,個,0.0,150.0
FFA024,小木雕,虎斑貓,個,0.0,150.0
FFA025,小木雕,賓士貓,個,0.0,150.0
FFA040,御守,,個,0.0,180.0
FFA031,手機掛繩,,個,0.0,580.0
FFA004,折疊水碗,丈青,個,0.0,150.0
FFA005,折疊水碗,卡其,個,0.0,150.0
FFA013,摺疊狗物袋,,個,0.0,350.0
FFA012,有狗吸水毛巾,,個,0.0,350.0
FFA029,木漿海綿,,個,0.0,100.0
FFA044,杯墊,旺,個,0.0,120.0
FFA045,杯墊,春,個,0.0,120.0
FFA046,杯墊,豐,個,0.0,120.0
FFA047,理念布旗,,個,0.0,350.0
FFA038,磁鐵,乳牛,個,0.0,200.0
FFA039,磁鐵,巧克力,個,0.0,200.0
FFA010,紙膠帶,繽紛,個,0.0,80.0
FFA011,紙膠帶,黑白,個,0.0,80.0
FFA030,行李吊牌,,個,0.0,280.0
FFA035,野餐墊,,個,0.0,1080.0
FFA042,鉤織杯墊,奶油狗橘圍巾,個,0.0,350.0
FFA043,鉤織杯墊,純犬狗,個,0.0,350.0
FFA041,鉤織杯墊,黑狗藍圍巾,個,0.0,350.0
FFA033,防撞收納包,,個,0.0,680.0
FFA032,隨身小包,,個,0.0,750.0
